GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,HC01_EST_VC02,HC02_EST_VC02,HC03_EST_VC02,HC04_EST_VC02,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC04_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC04_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC04_EST_VC05,HC01_EST_VC06,HC02_EST_VC06,HC03_EST_VC06,HC04_EST_VC06,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC04_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC04_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC04_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC04_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC04_EST_VC11,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",823,544,102,279,16.0,12.3,0.0,23.3,4.9,1.8,0.0,10.8,14.9,16.2,0.0,14.7,12.8,17.1,52.0,15.1,18.8,16.7,5.9,16.5,17.3,17.3,6.9,10.8,8.4,12.7,15.7,0.0,6.3,5.0,14.7,9.0,0.6,0.9,4.9,0.0,0.0,0.0,0.0,0.0,37772,42750,32000,26094,43924,45950,,35933
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2298,1203,294,1095,20.8,24.5,13.3,21.3,11.5,11.4,0.0,10.2,17.4,18.2,6.5,21.0,14.3,9.5,4.8,21.2,15.1,15.2,13.9,10.3,14.9,13.8,36.7,13.1,0.7,1.3,5.4,0.0,4.7,6.1,19.4,1.6,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.4,25135,22042,61349,21806,34334,32772,,30872
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2530,1406,562,1124,22.0,18.1,0.0,27.8,12.6,8.6,0.0,17.5,10.5,11.7,7.7,9.1,8.8,9.0,9.1,9.3,12.3,14.2,9.3,16.8,16.8,13.5,25.6,14.1,8.4,10.9,18.9,3.7,5.2,8.8,16.4,0.7,1.3,1.6,4.1,1.0,2.0,3.6,9.1,0.0,29495,36341,73750,20000,43675,53025,,29177
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1056,395,306,661,3.1,2.0,0.0,3.8,2.5,0.0,0.0,3.9,5.6,1.8,2.3,7.9,13.8,10.4,10.5,15.9,12.4,10.6,0.0,16.9,18.1,9.9,12.7,23.0,17.3,17.5,19.3,17.2,17.3,22.8,22.9,10.6,6.7,16.7,21.6,0.8,3.1,8.4,10.8,0.0,66987,95375,113125,53813,80134,112197,,57631
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2163,935,706,1228,11.2,2.0,0.0,18.2,8.5,2.9,0.0,12.7,12.7,10.3,11.8,14.5,8.9,1.8,0.0,14.3,5.1,9.5,2.3,1.8,14.8,14.1,16.9,15.3,16.6,20.4,21.1,13.7,15.9,24.1,28.3,9.6,4.5,10.4,13.7,0.0,1.9,4.5,5.9,0.0,56210,83277,96406,27801,63257,90604,,42435
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",10,0,0,10,0.0,,,0.0,0.0,,,0.0,100.0,,,100.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1597,679,328,918,23.7,11.3,18.3,32.8,8.7,7.5,0.0,9.6,21.7,23.3,0.0,24.1,15.8,9.6,6.1,16.8,15.3,20.3,28.4,11.5,5.9,12.4,18.0,1.1,5.1,7.7,13.1,4.1,2.9,5.6,11.3,0.0,0.9,2.2,4.6,0.0,0.1,0.1,0.3,0.0,23760,33203,49477,16423,30850,41641,,22141
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",829,296,179,533,11.5,7.8,0.0,13.5,2.8,0.0,0.0,4.3,14.8,4.4,7.3,20.6,14.1,5.7,0.0,22.0,17.2,12.8,15.1,19.7,12.8,9.8,2.2,14.4,14.0,34.8,34.6,5.4,4.0,0.0,0.0,0.0,4.6,12.8,21.2,0.0,4.2,11.8,19.6,0.0,40574,76591,95125,29769,55400,88768,,33003
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1267,458,201,809,18.5,8.7,0.0,25.7,23.0,11.8,21.4,27.7,23.0,32.5,22.9,17.7,8.4,14.6,0.0,6.9,2.1,2.8,0.0,1.2,16.8,22.1,38.8,13.8,2.4,3.7,8.5,0.0,1.6,0.0,0.0,2.5,4.2,3.7,8.5,4.4,0.0,0.0,0.0,0.0,17623,24255,54191,13323,33353,37802,,29735
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",1478,1024,344,454,13.0,13.2,2.3,23.6,10.9,5.2,4.4,12.8,11.1,17.9,6.7,5.9,20.7,14.2,9.3,29.5,20.1,19.2,22.4,22.0,13.5,18.8,31.7,1.8,8.5,10.1,19.8,2.0,1.8,1.6,3.5,2.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31729,34600,52361,28357,36147,37745,,27114
