GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC01_EST_VC14,HC02_EST_VC14,HC03_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC01_EST_VC16,HC02_EST_VC16,HC03_EST_VC16,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC01_EST_VC22,HC02_EST_VC22,HC03_EST_VC22,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC03_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC03_EST_VC26,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,0,,0,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4729,367,7.8,341,21,6.2,,0,0.0,,21,6.2,820,20,2.4,,0,0.0,,20,2.4,,11,1.3,,0,0.0,,0,0.0,3104,168,5.4,,7,0.2,,64,2.1,,83,2.7,,107,3.4,,61,2.0,,108,3.5,464,158,34.1,,0,0.0,,43,9.3,,42,9.1,,146,31.5,,7,1.5,,63,13.6
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5211,460,8.8,327,0,0.0,,0,0.0,,0,0.0,887,14,1.6,,0,0.0,,0,0.0,,14,1.6,,14,1.6,,0,0.0,3585,270,7.5,,73,2.0,,66,1.8,,93,2.6,,75,2.1,,43,1.2,,89,2.5,412,176,42.7,,10,2.4,,52,12.6,,56,13.6,,132,32.0,,36,8.7,,106,25.7
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",4883,613,12.6,364,0,0.0,,0,0.0,,0,0.0,897,5,0.6,,0,0.0,,0,0.0,,5,0.6,,0,0.0,,0,0.0,2989,356,11.9,,9,0.3,,30,1.0,,147,4.9,,249,8.3,,94,3.1,,131,4.4,633,252,39.8,,61,9.6,,62,9.8,,118,18.6,,229,36.2,,67,10.6,,161,25.4
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2415,412,17.1,196,0,0.0,,0,0.0,,0,0.0,453,40,8.8,,0,0.0,,15,3.3,,25,5.5,,10,2.2,,10,2.2,1639,307,18.7,,33,2.0,,28,1.7,,109,6.7,,210,12.8,,6,0.4,,136,8.3,127,65,51.2,,15,11.8,,22,17.3,,0,0.0,,58,45.7,,6,4.7,,6,4.7
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8523,1487,17.4,294,0,0.0,,0,0.0,,0,0.0,2123,253,11.9,,28,1.3,,19,0.9,,204,9.6,,49,2.3,,19,0.9,5210,818,15.7,,89,1.7,,151,2.9,,394,7.6,,501,9.6,,180,3.5,,284,5.5,896,416,46.4,,70,7.8,,105,11.7,,170,19.0,,385,43.0,,90,10.0,,148,16.5
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4779,1650,34.5,388,0,0.0,,0,0.0,,0,0.0,923,79,8.6,,39,4.2,,0,0.0,,79,8.6,,25,2.7,,25,2.7,2757,1058,38.4,,204,7.4,,295,10.7,,662,24.0,,667,24.2,,323,11.7,,561,20.3,711,513,72.2,,170,23.9,,191,26.9,,243,34.2,,432,60.8,,155,21.8,,301,42.3
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,0,,0,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4785,1238,25.9,392,0,0.0,,0,0.0,,0,0.0,1060,131,12.4,,0,0.0,,7,0.7,,103,9.7,,21,2.0,,0,0.0,2889,724,25.1,,108,3.7,,151,5.2,,341,11.8,,390,13.5,,77,2.7,,200,6.9,444,383,86.3,,108,24.3,,166,37.4,,61,13.7,,240,54.1,,17,3.8,,129,29.1
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3100,697,22.5,230,0,0.0,,0,0.0,,0,0.0,679,123,18.1,,0,0.0,,0,0.0,,112,16.5,,18,2.7,,7,1.0,1870,336,18.0,,35,1.9,,46,2.5,,146,7.8,,242,12.9,,51,2.7,,55,2.9,321,238,74.1,,0,0.0,,118,36.8,,0,0.0,,179,55.8,,9,2.8,,62,19.3
